446789	DECEMBER Special - Save 5% off +50	DECEMBER Special - Save 5% off +50	December5	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-12-03		
446874	November Special - Save 5% off +50	November Special - Save 5% off +50	November5	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com		2018-11-07		
446875	November Special - Save 10% off +75	November Special - Save 10% off +75	November10	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com		2018-11-07		
446876	November Special - Save 15% off +100	November Special - Save 15% off +100	November15	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-11-07		
446971	October Special - Save 5% off +50	October Special pepperjam affiliates - Save 5% off +50	October5	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-10-05		
446972	October Special - Save 10% off +75	October Special pepperjam affilates - Save 10% off +75	October10	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-10-05		
446973	October Special - Save 15% off +100	October Special pepperjam affilates - Save 15% off +100	October15	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-10-05		
447146	August Special pepperjam affilates - Save 5% off +50	August Special pepperjam affilates - Save 5% off +50	August5	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-08-03		
447147	August Special pepperjam affilates - Save 10% off +75	August Special pepperjam affilates - Save 10% off +75	August10	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-08-03		
447148	August Special pepperjam affilates - Save 15% off +100	August Special pepperjam affilates - Save 15% off +100	August15	pepperjam	https://www.21stcenturysmoke.com/	https://www.21stcenturysmoke.com/		21stcenturysmoke.com	Coupons	2018-08-03		
